ID,Keywert,Pubmed
ST3GAL6,60,4
ST6GALNAC5,45,1
B4GALT1,34,13
GnT-V,33,16
MGAT1,32,16
MGAT2,31,3
B4GALT6,29,0
ST3GAL1,22,2
ST6GAL1,18,21
B4GALT5,17,5
MGAT3,15,9
MGAT5,14,7
ST3GAL3,11,6
ST3GAL4,11,6
MGAT4A,10,3
ST3GAL5,8,7
ST3GAL2,7,2
ST6GALNAC1,7,2
ST6GALNAC6,6,1
B4GALT2,6,2
B3GALT4,6,1
ST8SIA3,5,0
B4GALT3,4,3
B3GALT5,4,4
ST6GALNAC2,3,1
ST6GALNAC3,3,0
ST8SIA5,3,0
B4GALT4,3,3
B4GALT7,3,3
B3GALT1,3,0
B3GALT2,3,0
MGAT4B,3,2
ST6GALNAC4,2,0
ST8SIA1,2,1
B3GALT7,2,0
ST8SIA4,1,2
ST8SIA6,1,1
MGAT4C,1,0
ST6GAL2,0,0
ST8SIA2,0,12
B3GALT3,0,0
B3GALT6,0,0
B3GALT8,0,0
B3GALT9,0,0
MGAT4D,0,1
MGAT5B,0,1
GCNT2,0,0
